Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2022-08-08	u2022-08-08-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the LMP – Hungary's Green Party in the 9th parliamentary term	Opposition	Centre to centre-left	KanaszNagyMate	Kanász-Nagy, Máté	M	1986	
ParlaMint-HU-en_2022-08-08	u2022-08-08-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 9th parliamentary term	Opposition	Centre-left to left	BerkiSandor	Berki, Sándor	M	1977	
ParlaMint-HU-en_2022-08-08	u2022-08-08-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	ToroczkaiLaszlo	Toroczkai, László	M	1978	
ParlaMint-HU-en_2022-08-08	u2022-08-08-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 9th parliamentary term	Opposition	Centre-left	KunhalmiAgnes	Kunhalmi, Ágnes	F	1982	
ParlaMint-HU-en_2022-08-08	u2022-08-08-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Momentum-frakció	Parliamentary group of the Momentum Movement in the 9th parliamentary term	Opposition	Centre	GelencserFerenc	Gelencsér, Ferenc	M	1990	
ParlaMint-HU-en_2022-08-08	u2022-08-08-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 9th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2022-08-08	u2022-08-08-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2022-08-08	u2022-08-08-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 summer, meeting 12, day 1, 2022-08-08 [ParlaMint]	2022-08-08	Unicameralism	9. ciklus	-	12. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 9th parliamentary term	Opposition	Centre-left	AratoGergely	Arató, Gergely	M	1968	
