Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-03-08	u2017-03-08-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
ParlaMint-HU-en_2017-03-08	u2017-03-08-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	GulyasGergely	Gulyás, Gergely	M	1981	
ParlaMint-HU-en_2017-03-08	u2017-03-08-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	BarandyGergely	Bárándy, Gergely	M	1976	
ParlaMint-HU-en_2017-03-08	u2017-03-08-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	VejkeyImre	Vejkey, Imre	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	StaudtGabor	Staudt, Gábor	M	1983	
ParlaMint-HU-en_2017-03-08	u2017-03-08-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	GyureCsaba	Gyüre, Csaba	M	1965	
ParlaMint-HU-en_2017-03-08	u2017-03-08-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2017-03-08	u2017-03-08-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-03-08	u2017-03-08-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 3, 2017-03-08 [ParlaMint.ana]	2017-03-08	Unicameralism	7. ciklus	-	74. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	AlexovLyubomir	Alexov, Lyubomir	M	1958	
