Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2018-01-30	u2018-01-30-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-01-30	u2018-01-30-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2018-01-30	u2018-01-30-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-01-30	u2018-01-30-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2018-01-30	u2018-01-30-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-01-30	u2018-01-30-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	VonaGabor	Vona, Gábor	M	1978	
ParlaMint-HU-en_2018-01-30	u2018-01-30-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-01-30	u2018-01-30-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2018-01-30	u2018-01-30-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-01-30	u2018-01-30-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2018-01-30	u2018-01-30-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 winter extraordinary, meeting 91, day 1, 2018-01-30 [ParlaMint.ana]	2018-01-30	Unicameralism	7. ciklus	-	91. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
