Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2019-03-19	u2019-03-19-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2019-03-19	u2019-03-19-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-03-19	u2019-03-19-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	KorozsLajos	Korózs, Lajos	M	1958	
ParlaMint-HU-en_2019-03-19	u2019-03-19-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-19	u2019-03-19-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	AnderBalazs	Ander, Balázs	M	1976	
ParlaMint-HU-en_2019-03-19	u2019-03-19-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-03-19	u2019-03-19-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2019-03-19	u2019-03-19-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	FarkasSandor	Farkas, Sándor	M	1953	
ParlaMint-HU-en_2019-03-19	u2019-03-19-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	MellarTamas	Mellar, Tamás	M	1954	
ParlaMint-HU-en_2019-03-19	u2019-03-19-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	CseresnyesPeter	Cseresnyés, Péter	M	1960	
ParlaMint-HU-en_2019-03-19	u2019-03-19-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	HarrachPeter	Harrach, Péter	M	1947	
ParlaMint-HU-en_2019-03-19	u2019-03-19-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-19	u2019-03-19-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BoroczLaszlo	Böröcz, László	M	1983	
ParlaMint-HU-en_2019-03-19	u2019-03-19-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2019-03-19	u2019-03-19-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 21, day 2, 2019-03-19 [ParlaMint.ana]	2019-03-19	Unicameralism	8. ciklus	-	21. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
