Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2021-02-01	u2021-02-01-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2021-02-01	u2021-02-01-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	CsardiAntal	Csárdi, Antal	M	1976	
ParlaMint-HU-en_2021-02-01	u2021-02-01-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VadaiAgnes	Vadai, Ágnes	F	1974	
ParlaMint-HU-en_2021-02-01	u2021-02-01-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2021-02-01	u2021-02-01-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	LukacsLaszloGyorgy	Lukács, László György	M	1983	
ParlaMint-HU-en_2021-02-01	u2021-02-01-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2021-02-01	u2021-02-01-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HiszekenyDezso	Hiszékeny, Dezső	M	1956	
ParlaMint-HU-en_2021-02-01	u2021-02-01-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2021-02-01	u2021-02-01-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HiszekenyDezso	Hiszékeny, Dezső	M	1956	
ParlaMint-HU-en_2021-02-01	u2021-02-01-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	BalczoZoltan	Balczó, Zoltán	M	1948	
ParlaMint-HU-en_2021-02-01	u2021-02-01-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2021-02-01	u2021-02-01-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2021-02-01	u2021-02-01-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	BalczoZoltan	Balczó, Zoltán	M	1948	
ParlaMint-HU-en_2021-02-01	u2021-02-01-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 65, day 1, 2021-02-01 [ParlaMint.ana]	2021-02-01	Unicameralism	8. ciklus	-	65. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
