Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	KocsisCakeOlivio	Kocsis-Cake, Olivio	M	1980	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	KeresztesLaszloLorant	Keresztes, László Lóránt	M	1975	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	BangoneBorbelyIldiko	Bangóné Borbély, Ildikó	F	1972	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2021-03-17-2	u2021-03-17-2-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 69, day 1, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	69. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
