Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2023-03-31	u2023-03-31-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	KovacsArpad	Kovács, Árpád	M	1948	
ParlaMint-HU-en_2023-03-31	u2023-03-31-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	AradszkiAndras	Aradszki, András	M	1956	
ParlaMint-HU-en_2023-03-31	u2023-03-31-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	DuroDora	Dúró, Dóra	F	1987	
ParlaMint-HU-en_2023-03-31	u2023-03-31-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	NovakElod	Novák, Előd	M	1980	
ParlaMint-HU-en_2023-03-31	u2023-03-31-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-03-31	u2023-03-31-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 22, day 4, 2023-03-31 [ParlaMint]	2023-03-31	Unicameralism	9. ciklus	-	22. ülés	4. ülésnap	-	COVID,War	English	Regular	notMP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 9th parliamentary term	Opposition	Centre-right	DudasRobert	Dudás, Róbert	M	1973	
