Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TobiasJozsef	Tóbiás, József	M	1970	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	FonagyJanos	Fónagy, János	M	1942	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	HegedusLorantne	Hegedűs, Lorántné	F	1970	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	FonagyJanos	Fónagy, János	M	1942	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	FonagyJanos	Fónagy, János	M	1942	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	FonagyJanos	Fónagy, János	M	1942	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RubovszkyGyorgy	Rubovszky, György	M	1944	
ParlaMint-HU-en_2014-12-23-1	u2014-12-23-1-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 winter extraordinary, meeting 25, day 1, 2014-12-23 [ParlaMint.ana]	2014-12-23	Unicameralism	7. ciklus	-	25. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
