Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-12-12	u2016-12-12-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	Minister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	SemjenZsolt	Semjén, Zsolt	M	1962	
ParlaMint-HU-en_2016-12-12	u2016-12-12-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-12-12	u2016-12-12-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	HadhazyAkos	Hadházy, Ákos Ányos	M	1974	
ParlaMint-HU-en_2016-12-12	u2016-12-12-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-12-12	u2016-12-12-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	GurNandor	Gúr, Nándor	M	1957	
ParlaMint-HU-en_2016-12-12	u2016-12-12-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2016-12-12	u2016-12-12-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	NemethZsolt	Németh, Zsolt	M	1963	
ParlaMint-HU-en_2016-12-12	u2016-12-12-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PotapiArpadJanos	Potápi, Árpád János	M	1967	
ParlaMint-HU-en_2016-12-12	u2016-12-12-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	DuroDora	Dúró, Dóra	F	1987	
ParlaMint-HU-en_2016-12-12	u2016-12-12-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-12-12	u2016-12-12-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-12-12	u2016-12-12-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-12-12	u2016-12-12-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SzavayIstvan	Szávay, István	M	1981	
ParlaMint-HU-en_2016-12-12	u2016-12-12-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2016-12-12	u2016-12-12-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	VasImre	Vas, Imre	M	1966	
ParlaMint-HU-en_2016-12-12	u2016-12-12-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-12-12	u2016-12-12-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 autumn, meeting 72, day 1, 2016-12-12 [ParlaMint.ana]	2016-12-12	Unicameralism	7. ciklus	-	72. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	GyureCsaba	Gyüre, Csaba	M	1965	
