Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2018-05-18	u2018-05-18-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2018-05-18	u2018-05-18-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	HargitaiJanos	Hargitai, János	M	1958	
ParlaMint-HU-en_2018-05-18	u2018-05-18-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2018-05-18	u2018-05-18-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	PotocskaneKorosiAnita	Potocskáné Kőrösi, Anita	F	1981	
ParlaMint-HU-en_2018-05-18	u2018-05-18-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2018-05-18	u2018-05-18-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2018-05-18	u2018-05-18-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2018-05-18	u2018-05-18-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	OrbanViktor	Orbán, Viktor	M	1963	
ParlaMint-HU-en_2018-05-18	u2018-05-18-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2018-05-18	u2018-05-18-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2018-05-18	u2018-05-18-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 3, day 1, 2018-05-18 [ParlaMint.ana]	2018-05-18	Unicameralism	8. ciklus	-	3. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
