Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	TordaiBence	Tordai, Bence	M	1981	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	OlahLajos	Oláh, Lajos	M	1969	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	GurmaiZita	Gurmai, Zita	F	1965	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Guest	notMP	notMinister	KDNP	Christian Democratic People's Party	-	Right	AzbejTristan	Azbej, Tristan	M	1979	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	PotocskaneKorosiAnita	Potocskáné Kőrösi, Anita	F	1981	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	NacsaLorinc	Nacsa, Lőrinc	M	1990	
ParlaMint-HU-en_2021-03-17-1	u2021-03-17-1-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 68, day 2, 2021-03-17 [ParlaMint.ana]	2021-03-17	Unicameralism	8. ciklus	-	68. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
