Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2023-02-20	u2023-02-20-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-02-20	u2023-02-20-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the LMP – Hungary's Green Party in the 9th parliamentary term	Opposition	Centre to centre-left	KanaszNagyMate	Kanász-Nagy, Máté	M	1986	
ParlaMint-HU-en_2023-02-20	u2023-02-20-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-02-20	u2023-02-20-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 9th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2023-02-20	u2023-02-20-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-02-20	u2023-02-20-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	ToroczkaiLaszlo	Toroczkai, László	M	1978	
ParlaMint-HU-en_2023-02-20	u2023-02-20-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-02-20	u2023-02-20-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 9th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2023-02-20	u2023-02-20-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2023-02-20	u2023-02-20-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 9th parliamentary term	Opposition	Centre-left	KomjathiImre	Komjáthi, Imre	M	1968	
ParlaMint-HU-en_2023-02-20	u2023-02-20-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 19, day 1, 2023-02-20 [ParlaMint]	2023-02-20	Unicameralism	9. ciklus	-	19. ülés	1. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
