Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2020-05-02	u2020-05-02-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-05-02	u2020-05-02-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	AderJanos	Áder, János	M	1959	
ParlaMint-HU-en_2020-05-02	u2020-05-02-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-05-02	u2020-05-02-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2020-05-02	u2020-05-02-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-05-02	u2020-05-02-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2020-05-02	u2020-05-02-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	SimicskoIstvan	Simicskó, István	M	1961	
ParlaMint-HU-en_2020-05-02	u2020-05-02-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2020-05-02	u2020-05-02-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	KeresztesLaszloLorant	Keresztes, László Lóránt	M	1975	
ParlaMint-HU-en_2020-05-02	u2020-05-02-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2020-05-02	u2020-05-02-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 4, 2020-05-02 [ParlaMint.ana]	2020-05-02	Unicameralism	8. ciklus	-	44. ülés	4. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
